Strain	Author	Accession	Originating_Lab	Submitting_Lab	Genbank_Accession	Database	Virus
hCoV-19/Australia/VIC79520/2022	Seemann et al	EPI_ISL_16386490	Microbiological Diagnostic Unit - Public Health Laboratory (MDU-PHL),The Peter Doherty Institute for Infection and Immunity	Microbiological Diagnostic Unit - Public Health Laboratory (MDU-PHL),The Peter Doherty Institute for Infection and Immunity		GISAID	sars2_21L
hCoV-19/Sweden/01_SE100_23CS500905/2023	Jan Albert et al	EPI_ISL_17099868	Karolinska University Hospital Solna	Karolinska University Hospital		GISAID	sars2_21L
hCoV-19/Australia/VIC81458/2023	Seemann et al	EPI_ISL_17015495	Microbiological Diagnostic Unit - Public Health Laboratory (MDU-PHL), The Peter Doherty Institute for Infection and Immunity	Microbiological Diagnostic Unit - Public Health Laboratory (MDU-PHL), The Peter Doherty Institute for Infection and Immunity		GISAID	sars2_21L
hCoV-19/Lithuania/MB230306_0151/2023	Lukas Zemaitis et al	EPI_ISL_17247966	Public Institution Antakalnis Polyclinic	National Public Health Surveillance Laboratory		GISAID	sars2_21L
hCoV-19/NewZealand/23YA0377/2023	Sarah Cockerton et al	EPI_ISL_16953633	Middlemore Hospital	Institute of Environmental Science and Research (ESR)		GISAID	sars2_21L
hCoV-19/NewZealand/23ZA0867/2023	Sarah Cockerton et al	EPI_ISL_16953164	Medlab South	Institute of Environmental Science and Research (ESR)		GISAID	sars2_21L
hCoV-19/Australia/WA10807/2023	PathWest Laboratory Medicine WA Microbial Surveillance Unit et al	EPI_ISL_16639573	PathWest Laboratory Medicine WA	PathWest Laboratory Medicine WA Microbial Surveillance Unit		GISAID	sars2_21L
hCoV-19/Singapore/R4MR142/2023	Grace Ngan et al	EPI_ISL_16534011	National Public Health Laboratory, National Centre for Infectious Diseases	National Public Health Laboratory, National Centre for Infectious Diseases		GISAID	sars2_21L
hCoV-19/Kuwait/B3-S43/2022	Fahd Al-Mulla et al	EPI_ISL_16436861	Jaber Hospital, MOH, Kuwait	Genetics & Bioinformatics Dept., Dasman Diabetes Insitute		GISAID	sars2_21L
hCoV-19/Bangladesh/IEDCR-2051100/2022	Manjur Hossain Khan et al	EPI_ISL_15913021	Institute of Epidemiology, Disease Control and Research (IEDCR)	Institute of Epidemiology, Disease Control and Research (IEDCR)		GISAID	sars2_21L
hCoV-19/Nepal/NPHL-S-1942/2022	National Public Health Laboratory Team et al	EPI_ISL_15920406	National Public Health Laboratory	National Public Health Laboratory		GISAID	sars2_21L
hCoV-19/Bhutan/RCDC-0008/2022	Chonticha Klungthong et al	EPI_ISL_16984429	AFRIMS	AFRIMS		GISAID	sars2_21L
hCoV-19/Vietnam/06159/2022	Nguyen Van Vinh Chau et al	EPI_ISL_15897047	Oxford University Clinical Research Unt	Oxford University Clinical Research Unt		GISAID	sars2_21L
hCoV-19/Croatia/HZJZ_1922/2022	Irena Tabain et al	EPI_ISL_16486375	"Klinika za infektivne bolesti ""Dr. Fran Mihaljević"""	Hrvatski zavod za javno zdravstvo		GISAID	sars2_21L
hCoV-19/Australia/ACT10512/2023	Austin Bird et al	EPI_ISL_16905336	ACT Pathology	Schwessinger Lab		GISAID	sars2_21L
hCoV-19/NewZealand/23YA0622/2023	Sarah Cockerton et al	EPI_ISL_16953783	Medlab Central (PN)	Institute of Environmental Science and Research (ESR)		GISAID	sars2_21L
hCoV-19/NewZealand/23YA0250/2023	Sarah Cockerton et al	EPI_ISL_16954269	Medlab Central (PN)	Institute of Environmental Science and Research (ESR)		GISAID	sars2_21L
hCoV-19/NewZealand/23XA1309/2023	Sarah Cockerton et al	EPI_ISL_17251964	Labtests Auckland	Institute of Environmental Science and Research (ESR)		GISAID	sars2_21L
hCoV-19/NewZealand/23XA0396/2023	Sarah Cockerton et al	EPI_ISL_16954343	Northland DHB Lab	Institute of Environmental Science and Research (ESR)		GISAID	sars2_21L
hCoV-19/NewZealand/22YA4628/2022	Sarah Cockerton et al	EPI_ISL_15957477	Medlab Central (PN)	Institute of Environmental Science and Research (ESR)		GISAID	sars2_21L
hCoV-19/NewZealand/23YA0587/2023	Sarah Cockerton et al	EPI_ISL_16954283	Pathlab Whakatane	Institute of Environmental Science and Research (ESR)		GISAID	sars2_21L
hCoV-19/NewZealand/23XA0255/2023	Sarah Cockerton et al	EPI_ISL_16954473	Waikato DHB Laboratory	Institute of Environmental Science and Research (ESR)		GISAID	sars2_21L
hCoV-19/NewZealand/23ZA1155/2023	Sarah Cockerton et al	EPI_ISL_17252126	Southern Community Labs	Institute of Environmental Science and Research (ESR)		GISAID	sars2_21L
hCoV-19/NewZealand/22YA4672/2022	Sarah Cockerton et al	EPI_ISL_16050327	Wellington SCL	Institute of Environmental Science and Research (ESR)		GISAID	sars2_21L
hCoV-19/NewZealand/23XA1156/2023	Sarah Cockerton et al	EPI_ISL_17252877	Waikato DHB Laboratory	Institute of Environmental Science and Research (ESR)		GISAID	sars2_21L
hCoV-19/TrinidadandTobago/413898/2023	Nikita S. D. Sahadeo et al	EPI_ISL_16911321	Trinidad Public Health Laboratory	Carrington Lab, Department of Preclinical Sciences, Faculty of Medical Sciences, The University of the West Indies, St Augustine Campus		GISAID	sars2_21L
hCoV-19/Iceland/L-1895/2022	Freyja Valsdottir et al	EPI_ISL_15452974	Landspitali Department of Clinical Microbiology	Landspitali Department of Clinical Microbiology		GISAID	sars2_21L
hCoV-19/Australia/TAS005191/2023	J Williamson et al	EPI_ISL_17396491	Hobart Pathology	Royal Hobart Hospital		GISAID	sars2_21L
hCoV-19/Bonaire/BQ-RIVM-121917/2022	Adam Meijer et al	EPI_ISL_16445450	Dutch COVID-19 response team	National Institute for Public Health and the Environment (RIVM)		GISAID	sars2_21L
hCoV-19/Switzerland/ZH-UZH-IMV-47281684/2023	Verena Kufner et al	EPI_ISL_17245354	UniversitätsSpital Zürich	Institute of Medical Virology, University of Zurich		GISAID	sars2_21L
hCoV-19/Croatia/HZJZ_2980/2023	Irena Tabain et al	EPI_ISL_17268221	Nastavni zavod za javno zdravstvo Splitsko- Dalmatinske županije	Hrvatski zavod za javno zdravstvo		GISAID	sars2_21L
hCoV-19/Peru/CUS-INS-41721/2023	José Santa Cruz Quispe et al	EPI_ISL_17405167	Laboratorio de Referencia Regional de Cusco. Dirección Regional de Salud de Cusco.	Laboratorio de Referencia Nacional de Virus Inmunoprevenibles. Centro Nacional de Salud Publica. Instituto Nacional de Salud Peru.		GISAID	sars2_21L
hCoV-19/SriLanka/aicbu6240/2022	Chandima Jeewandara et al	EPI_ISL_16970898	Allergy, Immunology and Cell Biology Unit (AICBU)	Allergy, Immunology and Cell Biology Unit (AICBU)		GISAID	sars2_21L
hCoV-19/Mauritius/10051/2023	Ramuth M et al	EPI_ISL_17245077	Central Health Laboratory, Ministry of Health and Wellness , Mauritius	Central Health Laboratory, Ministry of Health and Wellness , Mauritius		GISAID	sars2_21L
hCoV-19/Austria/AGES-1110839/2023	Posselt S. et al	EPI_ISL_17093507	Covid Fighters	AGES IMED Vienna		GISAID	sars2_21L
hCoV-19/England/QEUH-326805FB/2022	Harper VanSteenhouse et al	EPI_ISL_16484999	Lighthouse Lab in Glasgow	Wellcome Sanger Institute for the COVID-19 Genomics UK (COG-UK) Consortium		GISAID	sars2_21L
hCoV-19/Sweden/03_SE600_000200549548N2/2023	René Kaden et al	EPI_ISL_17281085	Akademiska Sjukhuset, Clinical Microbiology and Hospital Hygiene	Akademiska Sjukhuset, Clinical Microbiology and Hospital Hygiene		GISAID	sars2_21L
hCoV-19/Iceland/L-3700/2023	Freyja Valsdottir et al	EPI_ISL_17069116	Landspitali Department of Clinical Microbiology	Landspitali Department of Clinical Microbiology		GISAID	sars2_21L
hCoV-19/NewZealand/23XA1274/2023	Sarah Cockerton et al	EPI_ISL_17252160	Wellington SCL	Institute of Environmental Science and Research (ESR)		GISAID	sars2_21L
hCoV-19/Moldova/Nr_26883/2023	Olga Burduniuc et al	EPI_ISL_17015679	Virology Laboratory, National Agency for Public Health	Virology Laboratory, National Agency for Public Health		GISAID	sars2_21L
hCoV-19/NewZealand/23YA1242/2023	Sarah Cockerton et al	EPI_ISL_17252421	Medlab Central (PN)	Institute of Environmental Science and Research (ESR)		GISAID	sars2_21L
hCoV-19/NewZealand/23ZA1326/2023	Sarah Cockerton et al	EPI_ISL_17252803	Pathlab Whakatane	Institute of Environmental Science and Research (ESR)		GISAID	sars2_21L
hCoV-19/NewZealand/23YA1244/2023	Sarah Cockerton et al	EPI_ISL_17252795	Medlab Central (PN)	Institute of Environmental Science and Research (ESR)		GISAID	sars2_21L
hCoV-19/Mexico/HGO-INER-IBT-2425/2023	Julio Elías Alvarado-Yaah et al	EPI_ISL_17270159	National Institute of Respiratory Diseases (INER)	Laboratory of Molecular Biology of Emerging Diseases and EPOC, National Institute of Respiratory Diseases (INER)		GISAID	sars2_21L
hCoV-19/Cambodia/286269/2023	Chhorvann CHHEA et al	EPI_ISL_16893747	National Institute of Public Health	National Institute of Public Health		GISAID	sars2_21L
hCoV-19/Ireland/TA-NVRL-SIRL00011576/2023	Zoe Yandle et al	EPI_ISL_17155822	National Virus Reference Laboratory, University College Dublin	National Virus Reference Laboratory, University College Dublin		GISAID	sars2_21L
hCoV-19/Spain/AS-232312943/2023	Sandoval M et al	EPI_ISL_17190107	Hospital Universitario Central de Asturias	Laboratorio de Virología HUCA		GISAID	sars2_21L
hCoV-19/Indonesia/JK-NIHRD-23-00190/2023	Arie Ardiansyah Nugraha et al	EPI_ISL_16645384	RS Tzu Chi Pantai Indah Kapuk	National Institute of Health Research and Development		GISAID	sars2_21L
hCoV-19/HongKong/VB23019159/2023	Alan K.L. Tsang et al	EPI_ISL_17295408	Queen Mary Hospital	Hong Kong Department of Health		GISAID	sars2_21L
hCoV-19/Denmark/DCGC-641689/2023	Danish Covid-19 Genome Consortium et al	EPI_ISL_16985159	Department of Bacteria, Parasites and Fungi, Statens Serum Institut, Copenhagen, Denmark	Statens Serum Institut Bioinformatics and Microbial Genomics		GISAID	sars2_21L
hCoV-19/NewZealand/23XA1074/2023	Sarah Cockerton et al	EPI_ISL_17251938	Labtests Auckland	Institute of Environmental Science and Research (ESR)		GISAID	sars2_21L
hCoV-19/Qatar/QU.18.66.F9/2022	BRC: Heba A. Al-Khatib et al	EPI_ISL_15922886	Ministry of Public Health / Hamad Medical Corporation	Biomedical Research Center (BRC), Qatar University / Qatar Genome Project (QGP)		GISAID	sars2_21L
hCoV-19/SriLanka/aicbu6251/2022	Chandima Jeewandara et al	EPI_ISL_16970904	Allergy, Immunology and Cell Biology Unit (AICBU)	Allergy, Immunology and Cell Biology Unit (AICBU)		GISAID	sars2_21L
hCoV-19/SriLanka/aicbu6161/2022	Chandima Jeewandara et al	EPI_ISL_15903991	Allergy, Immunology and Cell Biology Unit (AICBU)	Allergy, Immunology and Cell Biology Unit (AICBU)		GISAID	sars2_21L
hCoV-19/Slovenia/23-067952-MB/2022	Sandra Janezic et al	EPI_ISL_16648239	National Laboratory for Health, Environment and Food, OMM, Maribor	NLZOH (National Laboratory for Health, Environment and Food)		GISAID	sars2_21L
hCoV-19/Singapore/16018/2022	Yichen Ding et al	EPI_ISL_16093032	National Public Health Laboratory, National Centre for Infectious Diseases	National Public Health Laboratory, National Centre for Infectious Diseases		GISAID	sars2_21L
hCoV-19/Croatia/HZJZ_2602/2023	Irena Tabain et al	EPI_ISL_16913832	Nastavni zavod za javno zdravstvo Primorsko- Goranske županije	Hrvatski zavod za javno zdravstvo		GISAID	sars2_21L
hCoV-19/USA/FL-CDC-QDX44244746/2022	Dakota Howard et al	EPI_ISL_16205217	Quest Diagnostics Incorporated	Centers for Disease Control and Prevention Division of Viral Diseases, Pathogen Discovery		GISAID	sars2_21L
hCoV-19/Kuwait/Jaber2220410801/2022	Dr. Zahrah Buhamad et al	EPI_ISL_15718950	I Am Negative Lab	Virology Lab, Jaber Al Ahmad Hospital		GISAID	sars2_21L
hCoV-19/NewZealand/23YA0116/2023	Sarah Cockerton et al	EPI_ISL_16954223	Pathlab Tauranga	Institute of Environmental Science and Research (ESR)		GISAID	sars2_21L
hCoV-19/NewZealand/22ZA3865/2022	Sarah Cockerton et al	EPI_ISL_15958349	CHL	Institute of Environmental Science and Research (ESR)		GISAID	sars2_21L
hCoV-19/NorthernMarianaIslands/MP-CDC-2-6965994/2023	Mili Sheth et al	EPI_ISL_17472852	Commonwealth Healthcare Center	Centers for Disease Control and Prevention Division of Viral Diseases, Pathogen Discovery		GISAID	sars2_21L
hCoV-19/NewZealand/22YA5697/2022	Sarah Cockerton et al	EPI_ISL_16434672	Wellington SCL	Institute of Environmental Science and Research (ESR)		GISAID	sars2_21L
hCoV-19/NewZealand/23YA0299/2023	Sarah Cockerton et al	EPI_ISL_16953361	Wellington SCL	Institute of Environmental Science and Research (ESR)		GISAID	sars2_21L
hCoV-19/Australia/TAS005308/2023	J Williamson et al	EPI_ISL_17396603	Royal Hobart Hospital	Royal Hobart Hospital		GISAID	sars2_21L
hCoV-19/Australia/TAS005039/2023	J Williamson et al	EPI_ISL_16912136	Royal Hobart Hospital	Royal Hobart Hospital		GISAID	sars2_21L
hCoV-19/Australia/QLD0x012A9D/2022	Patricia Wolf on behalf of Q-PHIRE Genomics et al	EPI_ISL_16178666	Pathology Queensland and Forensic Scientific Services	PHV-FSS		GISAID	sars2_21L
hCoV-19/Australia/ACT10127/2022	Robyn Hall et al	EPI_ISL_16523583	ACT Pathology, Canberra Hospital	Schwessinger Lab, Research School of Biology, College of Science, The Australian National University		GISAID	sars2_21L
hCoV-19/Australia/TAS004887/2023	J Williamson et al	EPI_ISL_16577972	Royal Hobart Hospital	Royal Hobart Hospital		GISAID	sars2_21L
hCoV-19/Italy/FVG-PN-65341741/2022	Koncan R et al	EPI_ISL_15350940	SC (UCO) Igiene e Sanità Pubblica, ASUGI, Trieste	SC (UCO) Igiene e Sanità Pubblica, ASUGI, Trieste		GISAID	sars2_21L
hCoV-19/Bhutan/RCDC-0005/2022	Chonticha Klungthong et al	EPI_ISL_16984426	AFRIMS	AFRIMS		GISAID	sars2_21L
hCoV-19/Bhutan/RCDC-0016/2022	Chonticha Klungthong et al	EPI_ISL_16984437	AFRIMS	AFRIMS		GISAID	sars2_21L
hCoV-19/Bulgaria/22BG-EU_022070_Pl207/2022	Alexiev et al	EPI_ISL_15390444	National Center of Infectious and Parasitic Diseases	National Center of Infectious and Parasitic Diseases		GISAID	sars2_21L
hCoV-19/Nepal/NPHL-S-1802/2022	National Public Health Laboratory Team/Patan Hospital et al	EPI_ISL_14807723	Patan Hospital	National Public Health Laboratory		GISAID	sars2_21L
hCoV-19/PapuaNewGuinea/PNG8412/2022	Kumbu et al	EPI_ISL_16534506	Central Public Health Laboratory	Microbiological Diagnostic Unit - Public Health Laboratory (MDU-PHL), The Peter Doherty Institute for Infection and Immunity		GISAID	sars2_21L
hCoV-19/India/GJ-GBRC9226/2022	Dinesh Kumar et al	EPI_ISL_15617514	Neuberg Supratech Laboratory - Rajkot	Gujarat Biotechnology Research Centre		GISAID	sars2_21L
hCoV-19/Zimbabwe/77818/2022	Air Comodore Dr. J Chimedza et al	EPI_ISL_16724325	National Microbiology Reference Laboratory	National Microbiology Reference Laboratory		GISAID	sars2_21L
hCoV-19/Zimbabwe/77822/2022	Air Comodore Dr. J Chimedza et al	EPI_ISL_16724329	National Microbiology Reference Laboratory	National Microbiology Reference Laboratory		GISAID	sars2_21L
hCoV-19/Montenegro/CO-01061_MNE000_1052052302/2023	Danijela Vujošević et al	EPI_ISL_17298122	Laboratory for Molecular Diagnostics,IPHMN	Eurofins Genomics Europe Sequencing GmbH		GISAID	sars2_21L
hCoV-19/Ukraine/76533/2023	Iryna Demchyshyna et al	EPI_ISL_17466193	Reference laboratory for diagnostics of HIV/AIDS, virological and especially dangerous pathogens	Reference laboratory for diagnostics of HIV/AIDS, virological and especially dangerous pathogens		GISAID	sars2_21L
hCoV-19/Vietnam/BMH-518997/2023	Phuong Truong et al	EPI_ISL_17297453	Thai Binh General Hospital	Bachmai Hospital		GISAID	sars2_21L
hCoV-19/Ukraine/73549/2023	Iryna Demchyshyna et al	EPI_ISL_16846060	Reference laboratory for diagnostics of HIV/AIDS, virological and especially dangerous pathogens	Reference laboratory for diagnostics of HIV/AIDS, virological and especially dangerous pathogens		GISAID	sars2_21L
hCoV-19/Iceland/L-2303/2022	Freyja Valsdottir et al	EPI_ISL_15879306	Landspitali Department of Clinical Microbiology	Landspitali Department of Clinical Microbiology		GISAID	sars2_21L
hCoV-19/Romania/B-547030/2023	Catalina Pascu et al	EPI_ISL_17385276	Cantacuzino National Military-Medical Institute, Viral Respiratory Infections Laboratory	Cantacuzino National Military-Medical Institute, Viral Respiratory Infections Laboratory		GISAID	sars2_21L
hCoV-19/NewZealand/23ZA1540/2023	Sarah Cockerton et al	EPI_ISL_17422802	Medlab South	Institute of Environmental Science and Research (ESR)		GISAID	sars2_21L
hCoV-19/Switzerland/BE-Risch-1109R14610/2022	Nadia Wohlwend et al	EPI_ISL_15802425	Dr. Risch Ostschweiz AG	Dr Risch Laboratory		GISAID	sars2_21L
hCoV-19/Lithuania/MB230221_0111/2023	Lukas Zemaitis et al	EPI_ISL_17075188	VIESOJI ISTAIGA CENTRO POLIKLINIKA	National Public Health Surveillance Laboratory		GISAID	sars2_21L
hCoV-19/Guadeloupe/IPP55990/2022	Marion Barbet et al	EPI_ISL_15973140	Labo Analyses Med	National Reference Center for Viruses of Respiratory Infections, Institut Pasteur, Paris		GISAID	sars2_21L
hCoV-19/USA/OH-CDC-QDX45962815/2023	Dakota Howard et al	EPI_ISL_16851389	Quest Diagnostics Incorporated	Centers for Disease Control and Prevention Division of Viral Diseases, Pathogen Discovery		GISAID	sars2_21L
hCoV-19/Malaysia/IMR_OS7694/2022	Kalyanasundram J et al	EPI_ISL_16200109	BP Healthcare Group	Institute for Medical Research, Infectious Disease Research Centre, National Institutes of Health, Ministry of Health Malaysia		GISAID	sars2_21L
hCoV-19/Singapore/14966/2022	Grace Ngan et al	EPI_ISL_15850328	National Public Health Laboratory, National Centre for Infectious Diseases	National Public Health Laboratory, National Centre for Infectious Diseases		GISAID	sars2_21L
hCoV-19/Montenegro/SJ/2023	Danijela Vujošević et al	EPI_ISL_16823182	Laboratory for Molecular Diagnostics,IPHMN	Laboratory for Molecular Diagnostics,IPHMN		GISAID	sars2_21L
hCoV-19/Georgia/Tb-sNCDC6768/2022	Giorgi Tomashvili et al	EPI_ISL_16458653	Department for Virology, Molecular Biology and Genome Research, R. G. Lugar Center for Public Health Research, National Center for Disease Control and Public Health (NCDC) of Georgia.	Department for Virology, Molecular Biology and Genome Research, R. G. Lugar Center for Public Health Research, National Center for Disease Control and Public Health (NCDC) of Georgia.		GISAID	sars2_21L
hCoV-19/Georgia/Tb-sNGS6979/2023	Giorgi Tomashvili et al	EPI_ISL_16759242	Department for Virology, Molecular Biology and Genome Research, R. G. Lugar Center for Public Health Research, National Center for Disease Control and Public Health (NCDC) of Georgia.	Department for Virology, Molecular Biology and Genome Research, R. G. Lugar Center for Public Health Research, National Center for Disease Control and Public Health (NCDC) of Georgia.		GISAID	sars2_21L
hCoV-19/Mauritius/N50813/2022	Magalutcheemee R et al	EPI_ISL_16412584	CENTRAL HEALTH LABORATORY	National Institute for Communicable Diseases of the National Health Laboratory Service		GISAID	sars2_21L
hCoV-19/Mauritius/MHW-9702/2023	Ubheeram J et al	EPI_ISL_17088326	Central Health Laboratory, Ministry of Health and Wellness	Central Health Laboratory, Ministry of Health and Wellness		GISAID	sars2_21L
hCoV-19/Mauritius/60177/2022	Ubheeram J et al	EPI_ISL_16741238	Central Health Laboratory, Ministry of Health and Wellness , Mauritius	Central Health Laboratory, Ministry of Health and Wellness , Mauritius		GISAID	sars2_21L
