Strain	Accession	Genbank_Accession	Originating_Lab	Submitting_Lab	Author	Database	Virus
hCoV-19/ElSalvador/INC-LNSP-084/2021	EPI_ISL_8106957		Laboratorio Nacional de Salud Publica	Inciensa, Instituto Costarricense de Investigación y Enseñanza en Nutrición y Salud	Ruth Vasquez et al	GISAID	sars2
hCoV-19/USA/KY-GD-081021-21073044249/2021	EPI_ISL_3623129		Gravity Diagnostics, LLC	Gravity Diagnostics, LLC	Gravity Diagnostics et al	GISAID	sars2
hCoV-19/USA/AZ-ASU19947/2021	EPI_ISL_5779311	OL332989.1	Arizona State University	Arizona State University	Ajeet Bains et al	GISAID	sars2
hCoV-19/Argentina/INEI115946/2021	EPI_ISL_9189740		Servicio Virosis Respiratorias-Departamento Virología-INEI	Instituto Nacional Enfermedades Infecciosas C.G.Malbran	Baumeister E. et al	GISAID	sars2
hCoV-19/NorthernMarianaIslands/CDC-2-5097408/2021	EPI_ISL_6473537		Commonwealth Healthcare Center	Centers for Disease Control and Prevention Division of Viral Diseases, Pathogen Discovery	Mili Sheth et al	GISAID	sars2
hCoV-19/Mexico/GUA-UGA_MAC_0076/2021	EPI_ISL_13560266		Hospitales Médica Avanzada Contigo. MAC Irapuato	Unidad de Genomica Avanzada	Leticia Cedillo Barron (2) et al	GISAID	sars2
hCoV-19/Canada/AB-ABPHL-42258/2021	EPI_ISL_7298877		Edmonton Provincial Lab	Alberta Precision Labs (APL)	Buss et al	GISAID	sars2
hCoV-19/Aruba/AW-RIVM-82616/2022	EPI_ISL_9184741		Dutch COVID-19 response team	National Institute for Public Health and the Environment (RIVM)	Adam Meijer et al	GISAID	sars2
hCoV-19/Canada/BC-BCCDC-224139/2021	EPI_ISL_6738794		British Columbia Centre For Disease Control	BCCDC Public Health Laboratory	Prystajecky Natalie et al	GISAID	sars2
hCoV-19/Bolivia/SAN-CABANA-PE-UPCH-2279/2021	EPI_ISL_8800564		Laboratorio de Diagnóstico e Investigación BIOSCIENCE SRL	Laboratorio de Genómica Microbiana, Universidad Peruana Cayetano Heredia	Esdenka Pérez et al	GISAID	sars2
hCoV-19/Bolivia/SAN-CABANA-PE-UPCH-2277/2021	EPI_ISL_8800588		Laboratorio de Diagnóstico e Investigación BIOSCIENCE SRL	Laboratorio de Genómica Microbiana, Universidad Peruana Cayetano Heredia	Esdenka Pérez et al	GISAID	sars2
hCoV-19/Chile/LI-146068/2021	EPI_ISL_4632280		Genetica Molecular and Subdepartamento de Virologia ISP Chile	Instituto de Salud Publica de Chile	Karen Orostica et al	GISAID	sars2
hCoV-19/Aruba/AW-RIVM-62916/2021	EPI_ISL_4993413		Dutch COVID-19 response team	National Institute for Public Health and the Environment (RIVM)	Adam Meijer et al	GISAID	sars2
hCoV-19/Belarus/BR-CRIE-7713246971/2021	EPI_ISL_10314633		The Republican Research and Practical Center for Epidemiology and Microbiology (RRPCEM)	Group of Genomics and Postgenomic Technologies of Central Research Institute of Epidemiology	Gasich Elena et al	GISAID	sars2
hCoV-19/Finland/THL-202123196/2021	EPI_ISL_4302877		SataDiag	Expert Microbiology, National Institute for Health and Welfare	Soile Blomqvist et al	GISAID	sars2
hCoV-19/Iran/AF1427/2021	EPI_ISL_15755221		Shahrekord University of Medical Sciences	COVID-19 National Reference Laboratory, Pasteur Institute of Iran	Zahra Fereydouni et al	GISAID	sars2
hCoV-19/Togo/10384/2021	EPI_ISL_12521366		LNR/CHU-SO	Unité Mixte Internationale TransVIHMI (UMI 233 IRD – U1175 INSERM - Université de Montpellier) IRD (Institut de recherche pour le développement)	A.S. COMLAN et al	GISAID	sars2
hCoV-19/Togo/BL21_C13174/2021	EPI_ISL_12521428		LNR/CHU-SO	Unité Mixte Internationale TransVIHMI (UMI 233 IRD – U1175 INSERM - Université de Montpellier) IRD (Institut de recherche pour le développement)	A.S. COMLAN et al	GISAID	sars2
hCoV-19/Congo/FCRM-82-A2-10-09.21/2021	EPI_ISL_4741152		Fondation Congolaise pour la recherche medicale (FCRM), Francine Ntoumi	Fondation Congolaise pour la Recherche Médicale	Mfoutou Mapanguy Claujens Chastel et al	GISAID	sars2
hCoV-19/Canada/QC-L00358768001/2021	EPI_ISL_3458890		Laboratoire de santé publique du Québec	Laboratoire de santé publique du Québec	Sandrine Moreira et al	GISAID	sars2
hCoV-19/Congo/FCRM-53-10386/2021	EPI_ISL_4572263		Fondation Congolaise pour la recherche medicale (FCRM), Francine Ntoumi	Fondation Congolaise pour la Recherche Médicale	Mfoutou Mapanguy Claujens Chastel et al	GISAID	sars2
hCoV-19/DRC/INRB-RDC-648/2021	EPI_ISL_9570918		Pathogen Genomics Lab, National Institute for Biomedical Research (INRB)	Pathogen Genomics Lab, National Institute for Biomedical Research (INRB)	Placide Mbala-Kingebeni et al B	GISAID	sars2
hCoV-19/Tunisia/S-2089/2021	EPI_ISL_16398484		Laboratoire de Microbiologie, HOPITAL D'ENFANTS BECHIR HAMZA DE TUNIS	Laboratoire de Virologie Clinique, Institut Pasteur de Tunis	Smaoui Han'ne et al	GISAID	sars2
hCoV-19/Tunisia/F-2682/2021	EPI_ISL_8298410		Laboratoire de Virologie Clinique, Institut Pasteur de Tunis	Laboratory of Clinical Virology, Institut Pasteur de Tunis	Haddad-Boubaker Sondes et al	GISAID	sars2
hCoV-19/Madagascar/LA2M-143748/2021	EPI_ISL_13729311		Laboratoire d'Analyses Médicales Malagasy (LA2M)	Virology Unit, Institut Pasteur de Madagascar	Vololoniaina Raharinosy et al	GISAID	sars2
hCoV-19/Madagascar/IPM-12526/2021	EPI_ISL_13729390		Virology Unit, Institut Pasteur de Madagascar	Virology Unit, Institut Pasteur de Madagascar	Vololoniaina Raharinosy et al	GISAID	sars2
hCoV-19/Madagascar/LA2M-142731/2021	EPI_ISL_13729359		Laboratoire d'Analyses Médicales Malagasy (LA2M)	Virology Unit, Institut Pasteur de Madagascar	Vololoniaina Raharinosy et al	GISAID	sars2
hCoV-19/Hungary/mbl_30464/2021	EPI_ISL_9625967		Hungarian Defence Forces Medical Centre COVID Laboratory	Hungarian Defence Forces Medical Centre Epidemiological and Scientific Research Institute	Csaba István Pereszlényi et al	GISAID	sars2
hCoV-19/NorthMacedonia/43441/2021	EPI_ISL_3545696		Laboratory of virology and molecular diagnostics, Institute of Public Health	Laboratory of virology and molecular diagnostics, Institute of Public Health	Kuzmanovska M et al	GISAID	sars2
hCoV-19/Congo/BZV-LNSP-86/2022	EPI_ISL_16346784		Laboratoire National de Santé Publique de Brazzaville	Laboratoire National de Santé Publique de Brazzaville	Felix KOUKOUIKILA-KOUSSOUNDA et al	GISAID	sars2
hCoV-19/Congo/FCRM-125-A22.12.10.21/2021	EPI_ISL_6077266		Fondation Congolaise pour la recherche medicale (FCRM), Francine Ntoumi	Fondation Congolaise pour la Recherche Médicale	Mfoutou Mapanguy Claujens Chastel et al	GISAID	sars2
hCoV-19/Armenia/IMB11-12/2021	EPI_ISL_9018786		National Center of Disease Control and Prevention of the Republic of Armenia, Davidyants Laboratories, Yerevan, Armenia	Institute of Molecular Biology NAS RA, Republic of Armenia, Department of Bioengineering, BioinformaticsInstitute and Molecular Biology IBMPh RAU, Republic of Armenia	Arsen Arakelyan et al	GISAID	sars2
hCoV-19/Lesotho/UHB-MI-SEB-00882/2021	EPI_ISL_7315770		SolidarMed	Clinical Bacteriology, University Hospital Basel	Bulemba Katende et al	GISAID	sars2
hCoV-19/Seychelles/SS4654/2021	EPI_ISL_8424580	OM158510.1	Seychelles Public Health Laboratory	KEMRI-Wellcome Trust Research Programme,Kilifi	Githinji G. et al	GISAID	sars2
hCoV-19/Seychelles/SS5604/2021	EPI_ISL_11060287		Seychelles Public Health Laboratory	KEMRI-Wellcome Trust Research Programme,Kilifi	Githinji G. et al	GISAID	sars2
hCoV-19/Kazakhstan/KUS-NRL-1226/2021	EPI_ISL_7629769		Kostanay Regional Center for the Prevention and Control of AIDS	Reference laboratory for the control of viral infections	Madina Tleubergenova et al	GISAID	sars2
hCoV-19/Serbia/Belgrade-3554982508/2021	EPI_ISL_6698745		"Institute of Virology, Vaccines and Sera ""Torlak"""	Institute of microbiology and Immunology, Faculty of Medicine, University of Belgrade	Knezevic et al	GISAID	sars2
hCoV-19/Cyprus/BMV1908/2021	EPI_ISL_16372842		Department of Molecular Virology, Cyprus Institute of Neurology and Genetics	Laboratory of Biotechnology and Molecular Virology, University of Cyprus	Leondios G. Kostrikis et al.	GISAID	sars2
hCoV-19/USA/VA-DCLS-6066/2021	EPI_ISL_3117584	MZ648154.1	Virginia Division of Consolidated Laboratory Services	Virginia Division of Consolidated Laboratory Services	Virginia Division of Consolidated Laboratory Services et al	GISAID	sars2
hCoV-19/Serbia/68-EP3_Israel_2007/2021	EPI_ISL_8748538		The City Institute for Public Health Belgrade	Institute of microbiology and Immunology, Faculty of Medicine, University of Belgrade	Knezevic et al	GISAID	sars2
hCoV-19/Russia/MOW-CRIE-D187L0051ub/2021	EPI_ISL_3101221		"Molecular diagnostic laboratory of Federal Budget Institution of Science ""Central Research Institute of Epidemiology"" of The Federal Service on Customers' Rights Protection and Human Well-being Surveillance"	Group of Genomics and Postgenomic Technologies of Central Research Institute of Epidemiology	Samoilov A.E. et al	GISAID	sars2
hCoV-19/Belarus/MA-CRIE-7713246577/2021	EPI_ISL_10314631		The Republican Research and Practical Center for Epidemiology and Microbiology (RRPCEM)	Group of Genomics and Postgenomic Technologies of Central Research Institute of Epidemiology	Gasich Elena et al	GISAID	sars2
hCoV-19/Moldova/un-ChVir25845/2021	EPI_ISL_3064706		National Agency for Public Health, Republic of Moldov	Charité Universitätsmedizin Berlin, Institut für Virologie	Victor M Corman et al B	GISAID	sars2
hCoV-19/Estonia/16797804/2021	EPI_ISL_4171774		Synlab Eesti OÜ	1. Laboratory of Communicable Diseases (Estonia); 2. Eurofins Genomics Europe Sequencing GmbH	Liidia Dotsenko et al.	GISAID	sars2
hCoV-19/Ecuador/NIC-INSPI-344593/2021	EPI_ISL_4497209		INSPI-CRN DE INFLUENZA Y OTROS VIRUS RESPIRATORIOS	NIC-INSPI	Alfredo Bruno et al	GISAID	sars2
hCoV-19/Finland/8806/2021	EPI_ISL_3135644		Department of Virology and Immunology, University of Helsinki and Helsinki University Hospital, Huslab Finland	Department of Virology, Faculty of Medicine, University of Helsinki, Helsinki, Finland	Teemu Smura et al A	GISAID	sars2
hCoV-19/Belarus/HO-CRIE-L219C0059u_3977/2021	EPI_ISL_9318167		The Republican Research and Practical Center for Epidemiology and Microbiology (RRPCEM)	Group of Genomics and Postgenomic Technologies of Central Research Institute of Epidemiology	Gasich Elena et al	GISAID	sars2
hCoV-19/Switzerland/VS-ICH-2211066367/2021	EPI_ISL_6307993		Valais Hospital, Central Institute	Valais Hospital, Central Institute	Alexis Dumoulin et al	GISAID	sars2
hCoV-19/BosniaandHerzegovina/165774/2021	EPI_ISL_4239950		Institute of Public Health	Institute of Public Health	Pava Dimitrijevic et al	GISAID	sars2
hCoV-19/Qatar/QA.QU..20.5.D5/2021	EPI_ISL_6132505		Ministry of Public Health / Hamad Medical Corporation	Biomedical Research Center (BRC), Qatar University / Qatar Genome Project (QGP)	BRC: Fatiha M. Benslimane et al	GISAID	sars2
hCoV-19/Germany/BW-RKI-I-321995/2021	EPI_ISL_6460683		MVZ Labor Dr. Limbach & Kollegen GbR	Robert Koch Institute	?	GISAID	sars2
hCoV-19/Russia/MOW-CRIE-L219D0090u/2021	EPI_ISL_6641249		"Molecular diagnostic laboratory of Federal Budget Institution of Science ""Central Research Institute of Epidemiology"" of The Federal Service on Customers' Rights Protection and Human Well-being Surveillance"	Group of Genomics and Postgenomic Technologies of Central Research Institute of Epidemiology	Samoilov A.E. et al	GISAID	sars2
hCoV-19/BosniaandHerzegovina/166654/2021	EPI_ISL_4239962		Institute of Public Health	Institute of Public Health	Pava Dimitrijevic et al	GISAID	sars2
hCoV-19/HongKong/CM21000577/2021	EPI_ISL_4342622		Temporary Specimen Collection Centre at the AsiaWorld-Expo	Hong Kong Department of Health	Alan K.L. Tsang et al	GISAID	sars2
hCoV-19/Moldova/un-ChVir25847/2021	EPI_ISL_3064708		National Agency for Public Health, Republic of Moldov	Charité Universitätsmedizin Berlin, Institut für Virologie	Victor M Corman et al B	GISAID	sars2
hCoV-19/Sweden/09_SE100_21CS102197/2021	EPI_ISL_3167158		Karolinska University Hospital Huddinge	Karolinska University Hospital	Jan Albert et al	GISAID	sars2
hCoV-19/Finland/THL-202126058/2021	EPI_ISL_6900519		NordLab Oulu	Expert Microbiology, National Institute for Health and Welfare	Soile Blomqvist et al	GISAID	sars2
hCoV-19/Crimea/CRIE-L189P2631u/2021	EPI_ISL_6901061		"Molecular diagnostic laboratory of Federal Budget Institution of Science ""Central Research Institute of Epidemiology"" of The Federal Service on Customers' Rights Protection and Human Well-being Surveillance"	Group of Genomics and Postgenomic Technologies of Central Research Institute of Epidemiology	Samoilov A.E. et al	GISAID	sars2
hCoV-19/Belgium/CHUNamur13895728/2021	EPI_ISL_8255221		Plateforme de testing Namuroise	Plateforme de testing Namuroise	Gilliard Nicolas et al	GISAID	sars2
hCoV-19/Crimea/43-CRIE-L191S0986u_1979/2021	EPI_ISL_11359718		"Molecular diagnostic laboratory of Federal Budget Institution of Science ""Central Research Institute of Epidemiology"" of The Federal Service on Customers' Rights Protection and Human Well-being Surveillance"	Group of Genomics and Postgenomic Technologies of Central Research Institute of Epidemiology	Samoilov A.E. et al	GISAID	sars2
hCoV-19/SouthSudan/UG1099/2021	EPI_ISL_10512533		South Sudan Ministry of Health, WHO South Sudan, MRC/UVRI & LSHTM Uganda Research Unit	MRC/UVRI & LSHTM Uganda Research Unit, South Sudan Ministry of Health, WHO South Sudan	Abe G Abias et al	GISAID	sars2
hCoV-19/Moldova/un-ChVir25848/2021	EPI_ISL_3064709		National Agency for Public Health, Republic of Moldov	Charité Universitätsmedizin Berlin, Institut für Virologie	Victor M Corman et al B	GISAID	sars2
hCoV-19/Russia/MOW-CRIE-L219V0153u/2021	EPI_ISL_3989376		"Molecular diagnostic laboratory of Federal Budget Institution of Science ""Central Research Institute of Epidemiology"" of The Federal Service on Customers' Rights Protection and Human Well-being Surveillance"	Group of Genomics and Postgenomic Technologies of Central Research Institute of Epidemiology	Samoilov A.E. et al	GISAID	sars2
hCoV-19/Montenegro/CO-00366_MNE000_2532712102/2021	EPI_ISL_3569674		Laboratory for Molecular Diagnostics,IPHMN	Eurofins Genomics Europe Sequencing GmbH	Danijela Vujošević et al	GISAID	sars2
hCoV-19/Montenegro/264574/2021	EPI_ISL_3861926		Laboratory for Molecular Diagnostics, IPHMN	Laboratory for Molecular Diagnostics, IPHMN	Danijela Vujošević et al	GISAID	sars2
hCoV-19/Montenegro/CO-00531_MNE000_5464532102/2021	EPI_ISL_7392717		Laboratory for Molecular Diagnostics,IPHMN	Eurofins Genomics Europe Sequencing GmbH	Danijela Vujošević et al	GISAID	sars2
hCoV-19/Montenegro/CO-00531_MNE000_5526422102/2021	EPI_ISL_7414827		Laboratory for Molecular Diagnostics,IPHMN	Eurofins Genomics Europe Sequencing GmbH	Danijela Vujošević et al	GISAID	sars2
hCoV-19/Switzerland/SO-ETHZ-34667459/2021	EPI_ISL_6721036		Viollier AG	Department of Biosystems Science and Engineering, ETH Zürich	Christian Beisel et al	GISAID	sars2
hCoV-19/Denmark/DCGC-237128/2021	EPI_ISL_7276792	OV854198.1	Department of Bacteria, Parasites and Fungi, Statens Serum Institut, Copenhagen, Denmark	Statens Serum Institut Bioinformatics and Microbial Genomics	Danish Covid-19 Genome Consortium et al	GISAID	sars2
hCoV-19/Russia/40-CRIE-L189N0091u/2021	EPI_ISL_8540292		"Molecular diagnostic laboratory of Federal Budget Institution of Science ""Central Research Institute of Epidemiology"" of The Federal Service on Customers' Rights Protection and Human Well-being Surveillance"	Group of Genomics and Postgenomic Technologies of Central Research Institute of Epidemiology	Samoilov A.E. et al	GISAID	sars2
hCoV-19/Crimea/CRIE-L191A0185_5652/2021	EPI_ISL_6901070		"Molecular diagnostic laboratory of Federal Budget Institution of Science ""Central Research Institute of Epidemiology"" of The Federal Service on Customers' Rights Protection and Human Well-being Surveillance"	Group of Genomics and Postgenomic Technologies of Central Research Institute of Epidemiology	Samoilov A.E. et al	GISAID	sars2
hCoV-19/Lebanon/LAU-CVD-917/2021	EPI_ISL_11327266		Laboratory of Molecular Biology and Cancer Immunology, Faculty of Sciences, Lebanese University	Microbial Pathogenomics Lab - LAU	Sima tokajian et al	GISAID	sars2
hCoV-19/Peru/LIM-INS-12421/2021	EPI_ISL_9053679		Laboratorio de Referencia Nacional de Virus Respiratorios. Centro Nacional de Salud Publica. Instituto Nacional de Salud Peru.	Laboratorio de Referencia Nacional de Virus Respiratorios. Centro Nacional de Salud Publica. Instituto Nacional de Salud Peru.	Carlos Padilla Rojas et al	GISAID	sars2
hCoV-19/Venezuela/Apu182/2021	EPI_ISL_10728884		IVIC	Laboratorio de Virologia Molecular	Rossana C Jaspe et al	GISAID	sars2
hCoV-19/Venezuela/DttoCA2/2021	EPI_ISL_9377158		IVIC	Laboratorio de Virologia Molecular	Rossana C Jaspe et al	GISAID	sars2
hCoV-19/Chile/ML-156032/2021	EPI_ISL_5431398		Genetica Molecular and Subdepartamento de Virologia ISP Chile	Instituto de Salud Publica de Chile	Karen Orostica et al	GISAID	sars2
hCoV-19/Venezuela/Lar41/2021	EPI_ISL_11629593		IVIC	Laboratorio de Virologia Molecular	Rossana C Jaspe et al	GISAID	sars2
hCoV-19/Chile/AT-182914/2021	EPI_ISL_6675483		Genetica Molecular and Subdepartamento de Virologia ISP Chile	Instituto de Salud Publica de Chile	Karen Orostica et al	GISAID	sars2
hCoV-19/Nepal/NPHLS-166/2021	EPI_ISL_4207276		COVID-19 PCR Lab Narayani Hospital	National Public Health Laboratory/CSIR-Institute of Genomics and Integrative Biology	National Public Health Laboratory Team /Narayani Hospital COVID-19 et al	GISAID	sars2
hCoV-19/Qatar/QA.QU..18.28.A1/2021	EPI_ISL_6125589		Ministry of Public Health / Hamad Medical Corporation	Biomedical Research Center (BRC), Qatar University / Qatar Genome Project (QGP)	BRC: Fatiha M. Benslimane et al	GISAID	sars2
hCoV-19/SouthAfrica/NICD-N16439/2021	EPI_ISL_5196483		KIMBERLEY LABORATORY	National Institute for Communicable Diseases of the National Health Laboratory Service	Amoako DG et al	GISAID	sars2
hCoV-19/Latvia/5610/2021	EPI_ISL_9031260		BIOR, Institute of Food Safety Animal health and Environment	Latvian Biomedical Research and Study Centre	Alise Jakovele et al	GISAID	sars2
hCoV-19/Ethiopia/CERI-KRISP-K024832_2/2021	EPI_ISL_6506301		Addis Ababa University	CERI, Centre for Epidemic Response and Innvoation, Stellenbosch University and KRISP, KZN Research Innovation and Sequencing Platform, UKZN.	Abay Sisay et al	GISAID	sars2
hCoV-19/Ethiopia/ET2108036/2021	EPI_ISL_6266195		Ethiopian Public Health Institute	EPHI Pathogen Genomic Sequence Lab	Atsbeha G Weldemariam et al	GISAID	sars2
hCoV-19/Angola/CERI-KRISP-K024651/2021	EPI_ISL_4474367		Africa_CDC - Angola	CERI, Centre for Epidemic Response and Innovation	Amy Strydom et al	GISAID	sars2
hCoV-19/Angola/CERI-KRISP-K027584/2021	EPI_ISL_9084425		Instituto Nacional de Investigação em Saúde	CERI, Centre for Epidemic Response and Innvoation, Stellenbosch University and KRISP, KZN Research Innovation and Sequencing Platform, UKZN.	Morais J et al	GISAID	sars2
hCoV-19/Taiwan/NTU-HCH-065/2021	EPI_ISL_14189427		Department of Laboratory Medicine, National Taiwan University Hospital Hsin-Chu Hospital, Taiwan	Research Center for Emerging Viral Infections, Chang Gung University, Taiwan	Pei-Lan Shao et al	GISAID	sars2
hCoV-19/Lesotho/N21472/2021	EPI_ISL_13037905		National Reference Laboratories	National Institute for Communicable Diseases of the National Health Laboratory Service	Gorova V et al	GISAID	sars2
hCoV-19/Lesotho/UHB-MI-SEB-00885/2021	EPI_ISL_7315772		SolidarMed	Clinical Bacteriology, University Hospital Basel	Bulemba Katende et al	GISAID	sars2
